circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,ibm_kingston,8192,[1],0.8855931940856812,0.11469184027777758,0.0,0.8857964409722222
baseline,low,False,ibm_kingston,8192,[1],0.8840799655010463,0.11701117621527746,0.0,0.8843180338541666
contextuality-preserving,low,True,ibm_kingston,8192,"[1, 3, 5]",0.8925290272119756,0.11214120976893548,0.042953798542697964,0.8936615331714108
baseline,low,True,ibm_kingston,8192,"[1, 3, 5]",0.8913712137463303,0.11386763469467809,0.03376250884937858,0.892640278761042
contextuality-preserving,medium,False,ibm_kingston,8192,[1],0.8871523211459609,0.11325412326388869,0.0,0.8873562282986112
baseline,medium,False,ibm_kingston,8192,[1],0.883836990738924,0.11663140190972193,0.0,0.8840874565972222
contextuality-preserving,medium,True,ibm_kingston,8192,"[1, 3, 5]",0.8954017194762398,0.11057907078841585,0.06957020347673556,0.896618911497415
baseline,medium,True,ibm_kingston,8192,"[1, 3, 5]",0.8956330688646018,0.10855714705789926,0.07033613041424433,0.8967040144904715
contextuality-preserving,high,False,ibm_kingston,8192,[1],0.8865563851263045,0.1134033203124998,0.0,0.8867458767361112
baseline,high,False,ibm_kingston,8192,[1],0.8855561719799988,0.11450195312499968,0.0,0.8857421875
contextuality-preserving,high,True,ibm_kingston,8192,"[1, 3, 5]",0.887249368685302,0.11773244105949897,0.0,0.8884962788881948
