circuit_type,mitigated,query_name,row_index,column_index,win_probability,fidelity,trace_distance
baseline,False,R3C2,3,2,0.691772,0.691649,0.308228
baseline,False,R2C2,2,2,0.692627,0.69207,0.307373
baseline,False,R2C1,2,1,0.696045,0.695685,0.303955
baseline,True,R3C2,3,2,0.807312,0.806152,0.192688
baseline,True,R2C1,2,1,0.826477,0.825794,0.173523
baseline,True,R2C2,2,2,0.839569,0.837981,0.160431
contextuality-high,False,R3C2,3,2,0.766968,0.766507,0.233032
contextuality-high,False,R2C2,2,2,0.768433,0.76818,0.231567
contextuality-high,False,R3C3,3,3,0.785522,0.785265,0.214478
contextuality-high,True,R2C2,2,2,0.853958,0.853628,0.146042
contextuality-high,True,R3C2,3,2,0.85878,0.8571,0.14122
contextuality-high,True,R1C2,1,2,0.878845,0.877869,0.121155
contextuality-low,False,R2C2,2,2,0.750488,0.749776,0.249512
contextuality-low,False,R3C2,3,2,0.758423,0.757995,0.241577
contextuality-low,False,R1C2,1,2,0.778198,0.778059,0.221802
contextuality-low,True,R3C3,3,3,0.870285,0.869324,0.129715
contextuality-low,True,R2C2,2,2,0.871964,0.871849,0.128036
contextuality-low,True,R2C3,2,3,0.87529,0.87423,0.12471
contextuality-medium,False,R3C2,3,2,0.759888,0.759223,0.240112
contextuality-medium,False,R2C2,2,2,0.779175,0.778777,0.220825
contextuality-medium,False,R3C3,3,3,0.786499,0.786417,0.213501
contextuality-medium,True,R3C3,3,3,0.850952,0.849786,0.149048
contextuality-medium,True,R3C2,3,2,0.865891,0.864968,0.134109
contextuality-medium,True,R2C2,2,2,0.878601,0.876439,0.121399
